createdTime,updatedTime,symbol,category,Position_Direction,avgEntryPrice,avgExitPrice,closedSize,closedPnl,leverage,orderId,execType,orderType,side,qty,cumEntryValue,orderPrice,fillCount,cumExitValue,Strategy,Emotions,Lessons_Learned
2025-05-10 22:55:06.731,2025-05-10 22:55:06.733,FARTCOINUSDT,linear,Long,1.353,1.3541,2.0,-0.00077781,25,56b0469a-5b40-4dfb-96fc-fad64c64e639,Trade,Market,Sell,2,2.706,1.1498,1,2.7082,,,
2025-05-10 22:54:38.516,2025-05-10 22:54:38.518,FARTCOINUSDT,linear,Long,1.3528,1.3527,2.0,-0.00317605,25,9c578fc6-4bdd-4709-9d2a-28b395e2259d,Trade,Market,Sell,2,2.7056,1.1498,1,2.7054,,,
2025-05-10 13:49:05.515,2025-05-10 13:49:05.517,FARTCOINUSDT,linear,Long,1.3425,1.3434,17.0,-0.00981317,20,7f72bdc8-e6f4-4f21-90f9-5b15ffaaafdb,Trade,Market,Sell,17,22.8225,1.1418,1,22.8378,,,
2025-05-10 13:48:50.192,2025-05-10 13:48:50.195,FARTCOINUSDT,linear,Long,1.3441,1.3449,20.0,-0.013579,20,fa5b5b16-61a5-4697-be69-289159326256,Trade,Market,Sell,20,26.882,1.1522,1,26.898,,,
2025-05-10 13:48:35.090,2025-05-10 13:48:35.092,FARTCOINUSDT,linear,Long,1.3431,1.3438,21.0,-0.0163337,20,969f0f69-608f-4009-be10-525fab8193e0,Trade,Market,Sell,21,28.2051,1.1596,1,28.2198,,,
2025-05-10 13:48:23.745,2025-05-10 13:48:23.747,FARTCOINUSDT,linear,Long,1.3435,1.3435,21.0,-0.03103486,20,1abeee9d-bf9b-4528-8650-70a6f0f32664,Trade,Market,Sell,21,28.2135,1.1585,1,28.2135,,,
2025-05-10 13:47:34.319,2025-05-10 13:47:34.321,FARTCOINUSDT,linear,Long,1.3426,1.344,34.0,-0.00263942,20,de785faf-5368-4858-8bca-2f34acccd1ed,Trade,Market,Sell,34,45.6484,1.2289,1,45.696,,,
2025-05-10 13:39:56.704,2025-05-10 13:39:56.706,FARTCOINUSDT,linear,Long,1.342,1.3417,22.0,-0.03907278,20,cf5c9040-456f-4f84-9bde-f9b2f8cca5e3,Trade,Market,Sell,22,29.524,1.1636,3,29.5174,,,
2025-05-10 13:39:43.928,2025-05-10 13:39:43.930,FARTCOINUSDT,linear,Long,1.3432,1.3427,22.0,-0.04349939,20,abfab868-9605-4bbe-897a-1f8ae63f852f,Trade,Market,Sell,22,29.5504,1.1628,1,29.5394,,,
2025-05-10 13:39:17.776,2025-05-10 13:39:17.778,FARTCOINUSDT,linear,Long,1.3416,1.3419,29.0,-0.03410183,20,356aee48-2e97-4425-acc7-fcb4d4ec88c2,Trade,Market,Sell,29,38.9064,1.204,1,38.9151,,,
2025-05-10 13:37:57.607,2025-05-10 13:37:57.609,FARTCOINUSDT,linear,Short,1.3391,1.3388,28.0,-0.03283967,20,f24f16d0-6e4f-412a-83df-c87b731569e3,Trade,Market,Buy,28,37.4948,1.4827,1,37.4864,,,
2025-05-10 13:37:41.624,2025-05-10 13:37:41.626,FARTCOINUSDT,linear,Short,1.3385,1.3385,32.0,-0.0471152,20,38b37caa-08d8-4cd7-85fa-9fa2522d2b54,Trade,Market,Buy,32,42.832,1.4655,1,42.832,,,
